Key,english,french
dhsPerkCommonConstiR1,Constitution,Constitution
dhsPerkCommonConstiR1Long,Niveau 1 : +1. Réduit légèrement tous les dégâts subis.,Niveau 1 : +1. Réduit légèrement tous les dégâts subis.
dhsPerkCommonConstiR2,Constitution,Constitution
dhsPerkCommonConstiR2Long,Niveau 2 : +2. Réduit légèrement tous les dégâts subis.,Niveau 2 : +2. Réduit légèrement tous les dégâts subis.
dhsPerkCommonConstiR3,Constitution,Constitution
dhsPerkCommonConstiR3Long,Niveau 3 : +3. Réduit légèrement tous les dégâts subis.,Niveau 3 : +3. Réduit légèrement tous les dégâts subis.
dhsPerkCommonSurvieName,Instinct de survie,Instinct de survie
dhsPerkCommonSurvieDesc,Augmente toute l'expérience gagnée.,Augmente toute l'expérience gagnée.
dhsPerkCommonSurvieR1,Instinct de survie,Instinct de survie
dhsPerkCommonSurvieR1Long,Niveau 1 : +2 %. Augmente toute l'expérience gagnée.,Niveau 1 : +2 %. Augmente toute l'expérience gagnée.
dhsPerkCommonSurvieR2,Instinct de survie,Instinct de survie
dhsPerkCommonSurvieR2Long,Niveau 2 : +4 %. Augmente toute l'expérience gagnée.,Niveau 2 : +4 %. Augmente toute l'expérience gagnée.
dhsPerkCommonSurvieR3,Instinct de survie,Instinct de survie
dhsPerkCommonSurvieR3Long,Niveau 3 : +6 %. Augmente toute l'expérience gagnée.,Niveau 3 : +6 %. Augmente toute l'expérience gagnée.
dhsPerkCommonSurvieR4,Instinct de survie,Instinct de survie
dhsPerkCommonSurvieR4Long,Niveau 4 : +8 %. Augmente toute l'expérience gagnée.,Niveau 4 : +8 %. Augmente toute l'expérience gagnée.
dhsPerkCommonSurvieR5,Instinct de survie,Instinct de survie
dhsPerkCommonSurvieR5Long,Niveau 5 : +10 %. Augmente toute l'expérience gagnée.,Niveau 5 : +10 %. Augmente toute l'expérience gagnée.
dhsPerkCommonGearName,Débrouillardise,Débrouillardise
dhsPerkCommonGearDesc,"Débloque la fabrication des armes et outils de base (tuyau, pierre) pour tous.","Débloque la fabrication des armes et outils de base (tuyau, pierre) pour tous."
dhsPerkCommonGearR1,Débrouillardise,Débrouillardise
dhsPerkCommonGearR1Long,"Débloque la fabrication des armes et outils de base (tuyau, pierre) pour tous.","Débloque la fabrication des armes et outils de base (tuyau, pierre) pour tous."
dhsPerkCommonCuisineName,Cuisine de survie,Cuisine de survie
dhsPerkCommonCuisineDesc,Débloque la préparation des plats et boissons de base pour tous.,Débloque la préparation des plats et boissons de base pour tous.
dhsPerkCommonCuisineR1,Cuisine de survie,Cuisine de survie
dhsPerkCommonCuisineR1Long,Débloque la préparation des plats et boissons de base pour tous.,Débloque la préparation des plats et boissons de base pour tous.
dhsPerkCommonAtelierName,Atelier de survie,Atelier de survie
dhsPerkCommonAtelierDesc,"Débloque la fabrication des établis et stations (forge, établi, station chimique, bétonnière, récupérateur de rosée, creuset, enclume, marmite, gril) pour tous.","Débloque la fabrication des établis et stations (forge, établi, station chimique, bétonnière, récupérateur de rosée, creuset, enclume, marmite, gril) pour tous."
dhsPerkCommonAtelierR1,Atelier de survie,Atelier de survie
dhsPerkCommonAtelierR1Long,"Débloque la fabrication des établis et stations (forge, établi, station chimique, bétonnière, récupérateur de rosée, creuset, enclume, marmite, gril) pour tous.","Débloque la fabrication des établis et stations (forge, établi, station chimique, bétonnière, récupérateur de rosée, creuset, enclume, marmite, gril) pour tous."
dhsPerkCommonArmuresName,Confection d'armures,Confection d'armures
dhsPerkCommonArmuresDesc,Débloque la confection de toutes les tenues d'armure (toutes panoplies) pour tous.,Débloque la confection de toutes les tenues d'armure (toutes panoplies) pour tous.
dhsPerkCommonArmuresR1,Confection d'armures,Confection d'armures
dhsPerkCommonArmuresR1Long,Débloque la confection de toutes les tenues d'armure (toutes panoplies) pour tous.,Débloque la confection de toutes les tenues d'armure (toutes panoplies) pour tous.
dhsPerkCommonModsName,Bricolage de mods,Bricolage de mods
dhsPerkCommonModsDesc,"Débloque la fabrication des modifications d'armes, d'armures, de mêlée, de véhicules et de drones pour tous.","Débloque la fabrication des modifications d'armes, d'armures, de mêlée, de véhicules et de drones pour tous."
dhsPerkCommonModsR1,Bricolage de mods,Bricolage de mods
dhsPerkCommonModsR1Long,"Débloque la fabrication des modifications d'armes, d'armures, de mêlée, de véhicules et de drones pour tous.","Débloque la fabrication des modifications d'armes, d'armures, de mêlée, de véhicules et de drones pour tous."
dhsPerkCommonMateriauxName,Récupération & matériaux,Récupération & matériaux
dhsPerkCommonMateriauxDesc,"Débloque la fabrication des matériaux et munitions intermédiaires de base (poudre, crochets, lots de ressources, etc.) pour tous.","Débloque la fabrication des matériaux et munitions intermédiaires de base (poudre, crochets, lots de ressources, etc.) pour tous."
dhsPerkCommonMateriauxR1,Récupération & matériaux,Récupération & matériaux
dhsPerkCommonMateriauxR1Long,"Débloque la fabrication des matériaux et munitions intermédiaires de base (poudre, crochets, lots de ressources, etc.) pour tous.","Débloque la fabrication des matériaux et munitions intermédiaires de base (poudre, crochets, lots de ressources, etc.) pour tous."
dhsReqClassEngiMech,Nécessite la classe Mécanicien,Nécessite la classe Mécanicien
dhsBookClassEngiMech,Manuel de classe : Mécanicien,Manuel de classe : Mécanicien
dhsBookClassEngiMechDesc,"Devenez Mécanicien : maîtrisez les véhicules, tourelles et drones de récup'. La lecture choisit la classe Mécanicien, débloque son craft signature et octroie quelques points de classe.","Devenez Mécanicien : maîtrisez les véhicules, tourelles et drones de récup'. La lecture choisit la classe Mécanicien, débloque son craft signature et octroie quelques points de classe."
dhsMagEngiMech,Manuel : Mécanicien,Manuel : Mécanicien
dhsMagEngiMechDesc,Un magazine de Mécanicien. Le lire octroie 1 point de classe Mécanicien à dépenser dans l'arbre Mécanicien. Utile uniquement à cette classe.,Un magazine de Mécanicien. Le lire octroie 1 point de classe Mécanicien à dépenser dans l'arbre Mécanicien. Utile uniquement à cette classe.
dhsSkillClassEngiMechArmeName,Mécanicien — Arme,Mécanicien — Arme
dhsSkillClassEngiMechArmeDesc,Sous-branche Mécanicien : Arme.,Sous-branche Mécanicien : Arme.
dhsPerkEngiMechDmgName,Dégâts,Dégâts
dhsPerkEngiMechDmgDesc,"Augmente les dégâts robotiques (tourelles, drones).","Augmente les dégâts robotiques (tourelles, drones)."
dhsPerkEngiMechDmgR1,Dégâts,Dégâts
dhsPerkEngiMechDmgR1Long,"Niveau 1 : +8 %. Augmente les dégâts robotiques (tourelles, drones).","Niveau 1 : +8 %. Augmente les dégâts robotiques (tourelles, drones)."
dhsPerkEngiMechDmgR2,Dégâts,Dégâts
dhsPerkEngiMechDmgR2Long,"Niveau 2 : +16 %. Augmente les dégâts robotiques (tourelles, drones).","Niveau 2 : +16 %. Augmente les dégâts robotiques (tourelles, drones)."
dhsPerkEngiMechDmgR3,Dégâts,Dégâts
dhsPerkEngiMechDmgR3Long,"Niveau 3 : +24 %. Augmente les dégâts robotiques (tourelles, drones).","Niveau 3 : +24 %. Augmente les dégâts robotiques (tourelles, drones)."
dhsPerkEngiMechDmgR4,Dégâts,Dégâts
dhsPerkEngiMechDmgR4Long,"Niveau 4 : +32 %. Augmente les dégâts robotiques (tourelles, drones).","Niveau 4 : +32 %. Augmente les dégâts robotiques (tourelles, drones)."
dhsPerkEngiMechDmgR5,Dégâts,Dégâts
dhsPerkEngiMechDmgR5Long,"Niveau 5 : +40 %. Augmente les dégâts robotiques (tourelles, drones).","Niveau 5 : +40 %. Augmente les dégâts robotiques (tourelles, drones)."
dhsPerkEngiMechHandName,Maniement,Maniement
dhsPerkEngiMechHandDesc,Améliore la prise en main et la stabilité des armes robotiques.,Améliore la prise en main et la stabilité des armes robotiques.
dhsPerkEngiMechHandR1,Maniement,Maniement
dhsPerkEngiMechHandR1Long,Niveau 1 : +10 %. Améliore la prise en main et la stabilité des armes robotiques.,Niveau 1 : +10 %. Améliore la prise en main et la stabilité des armes robotiques.
dhsPerkEngiMechHandR2,Maniement,Maniement
dhsPerkEngiMechHandR2Long,Niveau 2 : +20 %. Améliore la prise en main et la stabilité des armes robotiques.,Niveau 2 : +20 %. Améliore la prise en main et la stabilité des armes robotiques.
dhsPerkEngiMechHandR3,Maniement,Maniement
dhsPerkEngiMechHandR3Long,Niveau 3 : +30 %. Améliore la prise en main et la stabilité des armes robotiques.,Niveau 3 : +30 %. Améliore la prise en main et la stabilité des armes robotiques.
dhsPerkEngiMechHandR4,Maniement,Maniement
dhsPerkEngiMechHandR4Long,Niveau 4 : +40 %. Améliore la prise en main et la stabilité des armes robotiques.,Niveau 4 : +40 %. Améliore la prise en main et la stabilité des armes robotiques.
dhsPerkEngiMechHandR5,Maniement,Maniement
dhsPerkEngiMechHandR5Long,Niveau 5 : +50 %. Améliore la prise en main et la stabilité des armes robotiques.,Niveau 5 : +50 %. Améliore la prise en main et la stabilité des armes robotiques.
dhsPerkEngiMechReloadName,Maintenance,Maintenance
dhsPerkEngiMechReloadDesc,Recharge et entretient plus vite.,Recharge et entretient plus vite.
dhsPerkEngiMechReloadR1,Maintenance,Maintenance
dhsPerkEngiMechReloadR1Long,Niveau 1 : -6 %. Recharge et entretient plus vite.,Niveau 1 : -6 %. Recharge et entretient plus vite.
dhsPerkEngiMechReloadR2,Maintenance,Maintenance
dhsPerkEngiMechReloadR2Long,Niveau 2 : -12 %. Recharge et entretient plus vite.,Niveau 2 : -12 %. Recharge et entretient plus vite.
dhsPerkEngiMechReloadR3,Maintenance,Maintenance
dhsPerkEngiMechReloadR3Long,Niveau 3 : -18 %. Recharge et entretient plus vite.,Niveau 3 : -18 %. Recharge et entretient plus vite.
dhsPerkEngiMechReloadR4,Maintenance,Maintenance
dhsPerkEngiMechReloadR4Long,Niveau 4 : -24 %. Recharge et entretient plus vite.,Niveau 4 : -24 %. Recharge et entretient plus vite.
dhsPerkEngiMechReloadR5,Maintenance,Maintenance
dhsPerkEngiMechReloadR5Long,Niveau 5 : -30 %. Recharge et entretient plus vite.,Niveau 5 : -30 %. Recharge et entretient plus vite.
dhsPerkEngiMechPierceName,Perforation,Perforation
dhsPerkEngiMechPierceDesc,Vos tirs robotiques ignorent davantage l'armure.,Vos tirs robotiques ignorent davantage l'armure.
dhsPerkEngiMechPierceR1,Perforation,Perforation
dhsPerkEngiMechPierceR1Long,Niveau 1 : -6 %. Vos tirs robotiques ignorent davantage l'armure.,Niveau 1 : -6 %. Vos tirs robotiques ignorent davantage l'armure.
dhsPerkEngiMechPierceR2,Perforation,Perforation
dhsPerkEngiMechPierceR2Long,Niveau 2 : -12 %. Vos tirs robotiques ignorent davantage l'armure.,Niveau 2 : -12 %. Vos tirs robotiques ignorent davantage l'armure.
dhsPerkEngiMechPierceR3,Perforation,Perforation
dhsPerkEngiMechPierceR3Long,Niveau 3 : -18 %. Vos tirs robotiques ignorent davantage l'armure.,Niveau 3 : -18 %. Vos tirs robotiques ignorent davantage l'armure.
dhsPerkEngiMechPierceR4,Perforation,Perforation
dhsPerkEngiMechPierceR4Long,Niveau 4 : -24 %. Vos tirs robotiques ignorent davantage l'armure.,Niveau 4 : -24 %. Vos tirs robotiques ignorent davantage l'armure.
dhsPerkEngiMechPierceR5,Perforation,Perforation
dhsPerkEngiMechPierceR5Long,Niveau 5 : -30 %. Vos tirs robotiques ignorent davantage l'armure.,Niveau 5 : -30 %. Vos tirs robotiques ignorent davantage l'armure.
dhsSkillClassEngiMechMetierName,Mécanicien — Métier,Mécanicien — Métier
dhsSkillClassEngiMechMetierDesc,Sous-branche Mécanicien : Métier.,Sous-branche Mécanicien : Métier.
dhsPerkEngiMechQualityName,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkEngiMechQualityDesc,Améliore la qualité de ce que vous fabriquez (véhicules et robotique).,Améliore la qualité de ce que vous fabriquez (véhicules et robotique).
dhsPerkEngiMechQualityR1,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkEngiMechQualityR1Long,Niveau 1 : +1. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).,Niveau 1 : +1. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).
dhsPerkEngiMechQualityR2,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkEngiMechQualityR2Long,Niveau 2 : +2. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).,Niveau 2 : +2. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).
dhsPerkEngiMechQualityR3,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkEngiMechQualityR3Long,Niveau 3 : +3. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).,Niveau 3 : +3. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).
dhsPerkEngiMechQualityR4,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkEngiMechQualityR4Long,Niveau 4 : +4. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).,Niveau 4 : +4. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).
dhsPerkEngiMechQualityR5,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkEngiMechQualityR5Long,Niveau 5 : +5. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).,Niveau 5 : +5. Améliore la qualité de ce que vous fabriquez (véhicules et robotique).
dhsPerkEngiMechSpeedName,Production rapide,Production rapide
dhsPerkEngiMechSpeedDesc,Fabrique plus vite (véhicules et robotique).,Fabrique plus vite (véhicules et robotique).
dhsPerkEngiMechSpeedR1,Production rapide,Production rapide
dhsPerkEngiMechSpeedR1Long,Niveau 1 : -10 %. Fabrique plus vite (véhicules et robotique).,Niveau 1 : -10 %. Fabrique plus vite (véhicules et robotique).
dhsPerkEngiMechSpeedR2,Production rapide,Production rapide
dhsPerkEngiMechSpeedR2Long,Niveau 2 : -20 %. Fabrique plus vite (véhicules et robotique).,Niveau 2 : -20 %. Fabrique plus vite (véhicules et robotique).
dhsPerkEngiMechSpeedR3,Production rapide,Production rapide
dhsPerkEngiMechSpeedR3Long,Niveau 3 : -30 %. Fabrique plus vite (véhicules et robotique).,Niveau 3 : -30 %. Fabrique plus vite (véhicules et robotique).
dhsPerkEngiMechSpeedR4,Production rapide,Production rapide
dhsPerkEngiMechSpeedR4Long,Niveau 4 : -40 %. Fabrique plus vite (véhicules et robotique).,Niveau 4 : -40 %. Fabrique plus vite (véhicules et robotique).
dhsPerkEngiMechSpeedR5,Production rapide,Production rapide
dhsPerkEngiMechSpeedR5Long,Niveau 5 : -50 %. Fabrique plus vite (véhicules et robotique).,Niveau 5 : -50 %. Fabrique plus vite (véhicules et robotique).
dhsPerkEngiMechAtelierIName,Atelier : véhicules et robotique,Atelier : véhicules et robotique
dhsPerkEngiMechAtelierIDesc,Débloque la fabrication de votre spécialité : véhicules et robotique.,Débloque la fabrication de votre spécialité : véhicules et robotique.
dhsPerkEngiMechAtelierIR1,Atelier : véhicules et robotique,Atelier : véhicules et robotique
dhsPerkEngiMechAtelierIR1Long,Débloque la fabrication de votre spécialité : véhicules et robotique.,Débloque la fabrication de votre spécialité : véhicules et robotique.
dhsPerkEngiMechAtelierIIName,Maîtrise : véhicules et robotique,Maîtrise : véhicules et robotique
dhsPerkEngiMechAtelierIIDesc,Débloque la fabrication avancée de votre spécialité : véhicules et robotique.,Débloque la fabrication avancée de votre spécialité : véhicules et robotique.
dhsPerkEngiMechAtelierIIR1,Maîtrise : véhicules et robotique,Maîtrise : véhicules et robotique
dhsPerkEngiMechAtelierIIR1Long,Débloque la fabrication avancée de votre spécialité : véhicules et robotique.,Débloque la fabrication avancée de votre spécialité : véhicules et robotique.
dhsPerkEngiMechSigTurretName,Atelier robotique,Atelier robotique
dhsPerkEngiMechSigTurretDesc,Débloque la fabrication des Munitions de tourelle haute vélocité.,Débloque la fabrication des Munitions de tourelle haute vélocité.
dhsPerkEngiMechSigTurretR1,Atelier robotique,Atelier robotique
dhsPerkEngiMechSigTurretR1Long,Débloque la fabrication des Munitions de tourelle haute vélocité.,Débloque la fabrication des Munitions de tourelle haute vélocité.
dhsSkillClassEngiMechSpecName,Mécanicien — Spécialité,Mécanicien — Spécialité
dhsSkillClassEngiMechSpecDesc,Sous-branche Mécanicien : Spécialité.,Sous-branche Mécanicien : Spécialité.
dhsPerkEngiMechWreckName,Ferrailleur,Ferrailleur
dhsPerkEngiMechWreckDesc,Récupère plus de pièces en démontant.,Récupère plus de pièces en démontant.
dhsPerkEngiMechWreckR1,Ferrailleur,Ferrailleur
dhsPerkEngiMechWreckR1Long,Niveau 1 : +10 %. Récupère plus de pièces en démontant.,Niveau 1 : +10 %. Récupère plus de pièces en démontant.
dhsPerkEngiMechWreckR2,Ferrailleur,Ferrailleur
dhsPerkEngiMechWreckR2Long,Niveau 2 : +20 %. Récupère plus de pièces en démontant.,Niveau 2 : +20 %. Récupère plus de pièces en démontant.
dhsPerkEngiMechWreckR3,Ferrailleur,Ferrailleur
dhsPerkEngiMechWreckR3Long,Niveau 3 : +30 %. Récupère plus de pièces en démontant.,Niveau 3 : +30 %. Récupère plus de pièces en démontant.
dhsPerkEngiMechWreckR4,Ferrailleur,Ferrailleur
dhsPerkEngiMechWreckR4Long,Niveau 4 : +40 %. Récupère plus de pièces en démontant.,Niveau 4 : +40 %. Récupère plus de pièces en démontant.
dhsPerkEngiMechWreckR5,Ferrailleur,Ferrailleur
dhsPerkEngiMechWreckR5Long,Niveau 5 : +50 %. Récupère plus de pièces en démontant.,Niveau 5 : +50 %. Récupère plus de pièces en démontant.
dhsPerkEngiMechDriveName,Pilote,Pilote
dhsPerkEngiMechDriveDesc,Augmente votre mobilité.,Augmente votre mobilité.
dhsPerkEngiMechDriveR1,Pilote,Pilote
dhsPerkEngiMechDriveR1Long,Niveau 1 : +3 %. Augmente votre mobilité.,Niveau 1 : +3 %. Augmente votre mobilité.
dhsPerkEngiMechDriveR2,Pilote,Pilote
dhsPerkEngiMechDriveR2Long,Niveau 2 : +6 %. Augmente votre mobilité.,Niveau 2 : +6 %. Augmente votre mobilité.
dhsPerkEngiMechDriveR3,Pilote,Pilote
dhsPerkEngiMechDriveR3Long,Niveau 3 : +9 %. Augmente votre mobilité.,Niveau 3 : +9 %. Augmente votre mobilité.
dhsPerkEngiMechDriveR4,Pilote,Pilote
dhsPerkEngiMechDriveR4Long,Niveau 4 : +12 %. Augmente votre mobilité.,Niveau 4 : +12 %. Augmente votre mobilité.
dhsPerkEngiMechDriveR5,Pilote,Pilote
dhsPerkEngiMechDriveR5Long,Niveau 5 : +15 %. Augmente votre mobilité.,Niveau 5 : +15 %. Augmente votre mobilité.
dhsPerkEngiMechSparkName,Isolation,Isolation
dhsPerkEngiMechSparkDesc,Réduit les dégâts élémentaires subis.,Réduit les dégâts élémentaires subis.
dhsPerkEngiMechSparkR1,Isolation,Isolation
dhsPerkEngiMechSparkR1Long,Niveau 1 : +2. Réduit les dégâts élémentaires subis.,Niveau 1 : +2. Réduit les dégâts élémentaires subis.
dhsPerkEngiMechSparkR2,Isolation,Isolation
dhsPerkEngiMechSparkR2Long,Niveau 2 : +4. Réduit les dégâts élémentaires subis.,Niveau 2 : +4. Réduit les dégâts élémentaires subis.
dhsPerkEngiMechSparkR3,Isolation,Isolation
dhsPerkEngiMechSparkR3Long,Niveau 3 : +6. Réduit les dégâts élémentaires subis.,Niveau 3 : +6. Réduit les dégâts élémentaires subis.
dhsPerkEngiMechSparkR4,Isolation,Isolation
dhsPerkEngiMechSparkR4Long,Niveau 4 : +8. Réduit les dégâts élémentaires subis.,Niveau 4 : +8. Réduit les dégâts élémentaires subis.
dhsPerkEngiMechSparkR5,Isolation,Isolation
dhsPerkEngiMechSparkR5Long,Niveau 5 : +10. Réduit les dégâts élémentaires subis.,Niveau 5 : +10. Réduit les dégâts élémentaires subis.
dhsPerkEngiMechBlastName,Châssis renforcé,Châssis renforcé
dhsPerkEngiMechBlastDesc,Réduit les dégâts d'explosion subis.,Réduit les dégâts d'explosion subis.
dhsPerkEngiMechBlastR1,Châssis renforcé,Châssis renforcé
dhsPerkEngiMechBlastR1Long,Niveau 1 : -6 %. Réduit les dégâts d'explosion subis.,Niveau 1 : -6 %. Réduit les dégâts d'explosion subis.
dhsPerkEngiMechBlastR2,Châssis renforcé,Châssis renforcé
dhsPerkEngiMechBlastR2Long,Niveau 2 : -12 %. Réduit les dégâts d'explosion subis.,Niveau 2 : -12 %. Réduit les dégâts d'explosion subis.
dhsPerkEngiMechBlastR3,Châssis renforcé,Châssis renforcé
dhsPerkEngiMechBlastR3Long,Niveau 3 : -18 %. Réduit les dégâts d'explosion subis.,Niveau 3 : -18 %. Réduit les dégâts d'explosion subis.
dhsPerkEngiMechBlastR4,Châssis renforcé,Châssis renforcé
dhsPerkEngiMechBlastR4Long,Niveau 4 : -24 %. Réduit les dégâts d'explosion subis.,Niveau 4 : -24 %. Réduit les dégâts d'explosion subis.
dhsPerkEngiMechBlastR5,Châssis renforcé,Châssis renforcé
dhsPerkEngiMechBlastR5Long,Niveau 5 : -30 %. Réduit les dégâts d'explosion subis.,Niveau 5 : -30 %. Réduit les dégâts d'explosion subis.
dhsPerkEngiMechPartsName,Magasin de pièces,Magasin de pièces
dhsPerkEngiMechPartsDesc,Récupère davantage de butin.,Récupère davantage de butin.
dhsPerkEngiMechPartsR1,Magasin de pièces,Magasin de pièces
dhsPerkEngiMechPartsR1Long,Niveau 1 : +4 %. Récupère davantage de butin.,Niveau 1 : +4 %. Récupère davantage de butin.
dhsPerkEngiMechPartsR2,Magasin de pièces,Magasin de pièces
dhsPerkEngiMechPartsR2Long,Niveau 2 : +8 %. Récupère davantage de butin.,Niveau 2 : +8 %. Récupère davantage de butin.
dhsPerkEngiMechPartsR3,Magasin de pièces,Magasin de pièces
dhsPerkEngiMechPartsR3Long,Niveau 3 : +12 %. Récupère davantage de butin.,Niveau 3 : +12 %. Récupère davantage de butin.
dhsPerkEngiMechPartsR4,Magasin de pièces,Magasin de pièces
dhsPerkEngiMechPartsR4Long,Niveau 4 : +16 %. Récupère davantage de butin.,Niveau 4 : +16 %. Récupère davantage de butin.
dhsPerkEngiMechPartsR5,Magasin de pièces,Magasin de pièces
dhsPerkEngiMechPartsR5Long,Niveau 5 : +20 %. Récupère davantage de butin.,Niveau 5 : +20 %. Récupère davantage de butin.
dhsPerkEngiMechTradeName,Casse auto,Casse auto
dhsPerkEngiMechTradeDesc,Améliore les prix de vente.,Améliore les prix de vente.
dhsPerkEngiMechTradeR1,Casse auto,Casse auto
dhsPerkEngiMechTradeR1Long,Niveau 1 : +2. Améliore les prix de vente.,Niveau 1 : +2. Améliore les prix de vente.
dhsPerkEngiMechTradeR2,Casse auto,Casse auto
dhsPerkEngiMechTradeR2Long,Niveau 2 : +4. Améliore les prix de vente.,Niveau 2 : +4. Améliore les prix de vente.
dhsPerkEngiMechTradeR3,Casse auto,Casse auto
dhsPerkEngiMechTradeR3Long,Niveau 3 : +6. Améliore les prix de vente.,Niveau 3 : +6. Améliore les prix de vente.
dhsPerkEngiMechTradeR4,Casse auto,Casse auto
dhsPerkEngiMechTradeR4Long,Niveau 4 : +8. Améliore les prix de vente.,Niveau 4 : +8. Améliore les prix de vente.
dhsPerkEngiMechTradeR5,Casse auto,Casse auto
dhsPerkEngiMechTradeR5Long,Niveau 5 : +10. Améliore les prix de vente.,Niveau 5 : +10. Améliore les prix de vente.
dhsAmmoTurretHV,Munition de tourelle haute vélocité,Munition de tourelle haute vélocité
dhsAmmoTurretHVDesc,Munition optimisée pour tourelles et drones : dégâts robotiques accrus. Fabriquée uniquement par le Mécanicien.,Munition optimisée pour tourelles et drones : dégâts robotiques accrus. Fabriquée uniquement par le Mécanicien.
dhsReqClassEngiElec,Nécessite la classe Électricien,Nécessite la classe Électricien
